Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Deleted At: 2025-06-12 19:03:02 | Rows: 1
Deleted ID: 4 | Deleted At: 2025-06-12 19:17:25 | Rows: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 4 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
Deleted ID: 24 | Rows affected: 1
